time,LT,HTR,WM,FR,DW 
1303049053,25,24,183,121,0
1303049076,26,23,184,121,0
1303049093,25,23,183,120,1
1303049111,26,23,186,121,0
1303049134,26,22,188,120,0
1303049152,24,24,186,120,2
1303049170,24,24,189,122,2
1303049194,25,23,193,120,1
1303049211,25,23,195,120,1
1303049230,24,24,195,121,3
1303049260,24,24,196,119,42
1303049277,17,23,185,122,1782
1303049295,17,23,185,123,1784
1303049317,18,23,185,121,1761
1303049334,18,23,185,119,1764
1303049351,18,23,185,119,1729
1303049374,24,24,196,119,2
1303049391,23,24,196,118,36
1303049408,23,24,196,120,2
1303049431,23,24,196,120,3
1303049448,23,23,196,118,3
1303049465,23,24,194,120,2
1303049488,23,23,195,118,2
1303049505,23,23,195,118,2
1303049522,23,23,194,117,2
1303049539,23,23,194,118,2
1303049562,23,23,194,117,2
1303049579,23,23,194,118,2
1303049596,23,23,194,116,2
1303049619,23,23,194,116,2
1303049636,23,23,194,118,3
1303049653,23,23,194,115,2
1303049675,23,23,194,116,2
1303049693,23,23,194,117,2
1303049710,23,23,195,117,2
1303049733,23,23,194,118,2
1303049774,23,23,195,115,2
1303049797,23,23,194,114,2
1303049814,23,23,195,114,2
1303049831,23,23,195,115,2
1303049857,23,23,195,1,3
1303049874,23,23,195,1,2
1303049896,23,23,195,1,2
1303049918,23,23,195,1,2
1303049948,23,23,196,1,3
1303049971,23,23,195,1,3
1303049988,23,23,195,1,3
1303050006,23,23,195,1,3
1303050029,23,23,195,1,3
1303050048,23,23,195,1,3
1303050067,23,23,195,1,3
1303050090,23,23,196,1,3
1303050108,23,23,195,1,3
1303050126,23,23,196,1,3
1303050150,23,23,196,1,2
1303050167,23,23,195,1,2
1303050186,23,23,196,1,3
1303050209,23,23,196,1,3
1303050227,23,23,195,1,3
1303050245,23,23,196,1,3
1303050269,22,23,195,1,3
1303050286,23,23,195,1,3
1303050305,23,23,195,1,2
1303050328,23,23,195,1,3
1303050346,22,23,195,1,3
1303050364,22,23,195,1,3
1303050388,23,23,195,1,3
1303050405,22,23,195,1,2
1303050424,23,23,195,1,2
1303050442,22,23,195,1,3
1303050464,22,23,195,1,3
1303050483,22,23,195,1,3
1303050502,23,23,195,1,3
1303050524,22,23,195,1,3
1303050543,22,23,195,1,3
1303050561,22,23,195,1,3
1303050584,22,23,195,1,3
1303050602,22,23,195,1,3
1303050621,22,23,195,1,3
1303050643,22,23,195,83,3
1303050662,22,23,195,1,3
1303050680,23,23,195,1,3
1303050703,22,23,195,1,3
1303050720,22,23,195,1,3
1303050737,22,23,195,1,3
1303050759,22,23,195,1,3
1303050777,22,23,63,1,2
1303050795,21,23,63,1,2
1303050818,22,23,63,130,2
1303050836,22,23,64,135,2
1303050853,22,23,63,133,2
1303050875,22,23,63,131,2
1303050892,22,23,63,123,2
1303050909,21,23,63,122,2
1303050932,22,23,63,121,2
1303050949,22,23,63,120,2
1303050966,22,23,63,120,2
1303050989,22,23,63,119,2
1303051006,22,23,63,118,2
1303051023,22,23,64,118,2
1303051040,22,23,63,117,2
1303051063,21,23,63,118,2
1303051080,21,23,63,117,2
1303051098,22,23,63,118,2
1303051119,22,23,63,117,2
1303051137,21,23,63,118,2
1303051154,22,23,64,116,2
1303051176,22,23,63,116,2
1303051193,22,23,63,117,2
1303051210,22,23,64,115,2
1303051233,22,23,63,115,2
1303051250,22,23,63,116,2
1303051267,22,23,63,115,2
1303051290,22,23,63,115,2
1303051306,23,23,65,117,0
1303051323,22,23,65,116,0
1303051340,22,23,65,115,0
1303051363,21,23,63,116,2
1303051380,21,23,63,113,2
1303051397,21,23,63,113,2
1303051420,21,23,63,115,2
1303051437,21,23,63,113,2
1303051454,21,23,63,114,2
1303051476,21,23,63,115,2
1303051494,21,23,65,115,0
1303051511,21,23,65,115,0
1303051533,21,23,65,115,1
1303051550,21,23,63,115,2
1303051567,21,23,64,115,2
1303051589,21,23,63,113,2
1303051606,21,23,63,115,2
1303051624,15,23,51,115,1750
1303051641,15,23,51,115,1757
1303051664,15,23,51,115,1734
1303051681,21,23,63,115,36
1303051698,21,23,63,114,2
1303051720,21,23,63,113,2
1303051737,21,23,64,115,2
1303051755,21,23,63,113,2
1303051777,21,23,63,115,3
1303051794,21,23,63,115,3
1303051811,21,23,63,114,2
1303051833,21,23,63,113,2
1303051851,21,23,63,114,2
1303051868,21,23,63,115,2
1303051891,21,23,63,112,2
1303051907,21,23,63,2,3
1303051925,21,23,63,2,3
1303051942,21,23,63,2,2
1303051964,21,23,63,2,2
1303051981,21,23,63,2,2
1303051998,21,23,63,2,2
1303052021,21,23,63,2,2
1303052038,21,23,63,2,2
1303052055,22,23,63,1,2
1303052078,22,23,63,1,2
1303052095,21,23,63,1,2
1303052112,22,23,63,1,2
1303052135,22,23,63,1,2
1303052153,22,23,63,1,2
1303052171,22,23,62,1,2
1303052195,22,23,63,1,2
1303052212,21,23,63,1,2
1303052230,22,23,63,1,2
1303052253,22,23,63,1,2
1303052271,21,23,63,1,2
1303052288,22,23,63,0,2
1303052310,22,23,63,1,2
1303052328,22,23,63,0,2
1303052345,21,23,62,1,2
1303052368,22,23,63,0,2
1303052385,21,23,63,0,2
1303052402,21,23,63,0,2
1303052420,22,23,63,0,2
1303052442,22,23,63,0,2
1303052460,22,23,63,1,2
1303052477,21,23,63,0,2
1303052500,22,23,62,1,2
1303052517,21,23,63,1,2
1303052534,21,23,63,0,2
1303052946,21,23,63,0,2
1303052963,21,23,63,0,2
1303052980,21,23,63,1,2
1303053003,21,23,63,0,2
1303053020,21,23,63,0,2
1303053037,21,23,62,0,2
1303053059,21,23,63,1,2
1303053197,21,23,63,1,2
1303053214,21,23,62,0,2
1303053253,21,23,63,0,2
1303053270,21,23,63,1,2
1303053287,21,23,63,0,2
1303053416,22,47,63,131,2
1303054303,21,23,62,1,2
1303054320,21,23,63,1,2
1303054354,21,23,64,9,1
1303054478,21,23,63,1,2
1303054495,21,23,63,1,2
1303054529,21,23,63,1,2
1303054656,22,50,63,0,2
1303054673,22,50,62,0,2
1303054690,21,49,64,9,2
1303054712,21,49,63,0,2
1303054729,21,49,63,0,2
1303054746,21,49,63,0,2
1303054769,22,49,63,0,2
1303054786,21,49,63,133,2
1303054803,21,49,63,133,2
1303054820,21,49,63,134,2
1303054842,21,49,62,127,2
1303054859,22,49,63,122,2
1303054876,22,49,63,120,2
1303054899,22,50,63,118,2
1303054916,21,49,63,117,2
1303054933,22,49,63,119,2
1303054956,21,49,63,117,2
1303054973,21,49,63,117,2
1303054990,21,49,63,118,2
1303055012,22,49,63,119,2
1303055029,21,49,64,109,1
1303055046,21,49,63,116,2
1303055068,21,48,64,111,1
1303055086,21,49,63,117,2
1303055103,21,48,64,110,2
1303055120,22,49,63,115,2
1303055142,21,48,63,116,2
1303055159,22,49,63,114,2
1303055176,22,48,63,116,2
1303055199,21,48,63,116,2
1303055216,21,48,63,115,2
1303055233,21,48,63,116,2
1303055256,22,48,62,116,2
1303055273,22,48,63,118,2
1303055290,22,48,63,116,2
1303055312,22,48,63,116,2
1303055329,22,48,63,116,2
1303055346,22,48,63,114,2
1303055369,22,47,63,108,2
1303055386,22,48,63,117,2
1303055403,22,48,63,115,2
1303055420,22,47,63,107,2
1303055442,22,48,63,114,2
1303055460,22,47,63,117,2
1303055476,22,47,64,108,2
1303055499,22,48,63,0,2
1303055516,22,48,63,0,2
1303055533,22,47,63,7,2
1303055556,22,48,63,0,2
1303055573,22,47,64,7,2
1303055590,22,48,63,0,2
1303055613,22,47,64,7,2
1303055630,22,48,63,0,2
1303055647,22,48,63,0,2
1303055670,22,47,63,0,2
1303055687,22,47,63,0,2
1303055704,22,48,63,0,2
1303055721,21,47,64,0,2
1303055744,21,48,63,0,2
1303055763,22,48,63,0,2
1303055782,20,48,63,1,3
1303055804,21,47,63,0,2
1303055821,21,47,63,0,3
1303055839,21,47,63,0,3
1303055861,21,47,64,9,2
1303055878,21,47,63,0,3
1303055895,21,47,64,9,2
1303055918,21,47,64,0,2
1303055935,21,47,63,0,2
1303055953,21,47,63,0,3
1303055975,21,47,64,9,2
1303055994,21,47,63,0,3
1303056011,21,47,63,9,2
1303056034,21,47,63,0,3
1303056051,21,47,64,9,2
1303056068,21,47,63,0,3
1303056090,21,47,63,8,2
1303056107,21,47,62,0,3
1303056125,20,46,63,9,2
1303056142,21,47,63,0,3
1303056165,21,46,63,8,2
1303056182,21,47,63,0,3
1303056199,21,46,63,8,2
1303056222,21,47,62,0,3
1303056239,21,47,62,0,3
1303056257,22,47,62,0,3
1303056279,22,47,62,0,3
1303056296,22,47,62,0,3
1303056313,22,47,62,7,2
1303056336,22,47,63,0,2
1303056353,22,46,63,7,2
1303056370,22,47,63,0,3
1303056393,22,56,62,7,3
1303056410,22,56,62,0,3
1303056429,22,57,63,0,3
1303056452,22,57,63,0,3
1303056469,22,56,63,0,2
1303056486,22,57,63,0,2
1303056509,22,57,63,0,2
1303056525,22,56,63,0,2
1303056543,22,56,63,0,2
1303056560,22,56,62,0,3
1303056582,22,56,62,0,3
1303056599,22,56,62,0,2
1303056616,22,56,62,0,3
1303056639,22,56,63,0,3
1303056656,22,206,62,0,3
1303056673,22,205,62,0,3
1303056695,22,205,62,0,3
1303056712,22,205,62,0,3
1303056729,22,205,62,0,3
1303056752,22,207,63,0,3
1303056769,22,206,62,0,2
1303056787,22,206,62,0,3
1303056809,22,205,62,0,3
1303056826,22,205,62,0,3
1303056843,22,205,62,0,3
1303056860,22,205,62,0,3
1303056882,22,205,62,0,3
1303056900,22,23,63,0,2
1303056917,22,1,62,0,2
1303056940,22,1,62,0,2
1303056957,22,1,63,125,2
1303056974,22,0,63,136,2
1303056997,22,0,62,134,2
1303057014,22,1,63,130,2
1303057031,22,1,63,127,2
1303057053,22,0,63,122,2
1303057071,23,0,66,120,0
1303057088,23,0,66,120,0
1303057110,23,1,66,120,0
1303057127,22,0,63,119,2
1303057144,22,0,62,118,2
1303057161,22,0,63,120,2
1303057183,22,0,63,119,2
1303057201,22,0,63,119,2
1303057218,22,0,63,118,2
1303057240,22,1,63,118,2
1303057257,22,1,63,118,2
1303057274,22,0,63,118,2
1303057297,22,0,63,119,2
1303057314,22,0,63,118,2
1303057331,22,1,63,118,2
1303057354,22,0,63,117,2
1303057371,22,0,63,118,2
1303057388,22,1,63,116,2
1303057411,22,0,63,118,2
1303057428,22,0,63,117,2
1303057445,22,0,62,116,2
1303057462,22,0,62,117,2
1303057484,22,25,63,115,2
1303057502,22,26,63,115,2
1303057519,22,55,62,117,2
1303057541,21,54,63,114,2
1303057558,21,53,63,115,2
1303057575,21,52,63,114,2
1303057597,21,51,63,115,2
1303057615,21,50,63,115,2
1303057634,21,50,63,1,2
1303057657,21,50,62,0,2
1303057674,21,50,63,0,2
1303057691,22,50,63,0,2
1303057714,21,50,63,0,2
1303057731,22,50,63,1,2
1303057748,22,50,63,0,2
1303057770,21,50,63,0,2
1303057787,21,25,63,0,2
1303057804,21,24,63,0,2
1303057822,21,24,63,0,2
1303057844,21,24,63,1,2
1303057862,21,24,63,1,2
1303057879,21,24,63,0,2
1303057901,22,24,63,0,2
1303057918,22,24,63,0,2
1303057935,21,24,63,0,2
1303057958,22,24,63,0,2
1303057975,21,24,63,0,2
1303057992,22,1,63,0,2
1303058014,21,1,63,0,2
1303058032,21,1,63,0,2
1303058049,21,1,63,0,2
1303058072,21,1,63,0,2
1303058089,21,1,63,0,2
1303058106,21,1,63,0,2
1303058128,21,1,63,0,2
1303058147,22,1,63,0,2
1303058165,22,1,63,0,2
1303058189,21,1,63,0,2
1303058206,21,1,51,0,2
1303058224,22,1,51,0,2
1303058241,21,1,51,0,2
1303058264,21,1,51,0,2
1303058280,21,1,51,0,2
1303058298,22,1,51,0,2
1303058321,21,1,51,1,2
1303058338,21,1,51,0,2
1303058355,21,1,51,1,2
1303058378,21,1,51,1,2
1303058395,21,1,51,1,2
1303058412,21,1,51,0,2
1303058435,21,1,51,0,2
1303058451,21,1,51,0,2
1303058469,21,1,51,0,2
1303058491,21,1,51,0,2
1303058508,21,1,51,0,2
1303058525,21,1,51,0,2
1303058548,21,1,51,1,2
1303058566,21,1,51,1,2
1303058583,21,1,51,0,2
1303058600,21,1,51,0,2
1303058622,21,1,51,1,2
1303058640,21,1,51,0,2
1303058657,21,1,51,0,2
1303058679,21,1,51,0,2
1303058697,21,1,51,0,2
1303058714,21,1,51,0,2
1303058737,21,1,51,1,2
1303058754,21,1,51,0,2
1303058771,21,1,51,0,2
1303058793,21,1,51,0,2
1303058810,21,1,51,0,2
1303058827,21,1,51,1,2
1303058850,21,1,51,0,2
1303058867,21,1,51,0,2
1303058885,21,1,51,0,2
1303058902,21,1,51,0,2
1303058924,21,1,51,0,2
1303058941,21,1,51,0,2
1303058958,21,1,51,1,2
1303058980,21,1,51,0,2
1303058997,21,1,51,0,2
1303059014,21,1,51,1,2
1303059036,21,1,51,1,2
1303059053,21,1,51,0,2
1303059071,21,1,51,0,2
1303059093,21,1,51,0,2
1303059110,21,1,51,0,2
1303059127,21,1,51,0,2
1303059150,21,1,51,0,2
1303059167,21,1,51,1,2
1303059184,21,1,51,132,2
1303059201,21,1,51,135,2
1303059225,21,1,51,133,2
1303059243,21,1,51,129,2
1303059260,21,1,51,122,2
1303059283,21,1,51,120,2
1303059300,21,1,51,121,2
1303059317,21,1,51,117,2
1303059339,21,1,51,118,2
1303059357,21,1,51,119,2
1303059374,21,1,51,118,2
1303059397,21,1,51,119,2
1303059414,21,1,51,119,2
1303059432,21,1,51,116,2
1303059454,21,1,51,117,2
1303059471,21,1,51,116,2
1303059488,21,1,51,116,2
1303059511,21,1,51,115,2
1303059528,21,1,51,118,2
1303059545,21,1,51,117,2
1303059563,21,1,51,115,2
1303059586,21,1,51,116,2
1303059603,21,1,51,117,2
1303059621,21,1,51,116,2
1303059643,21,1,51,115,2
1303059663,21,1,51,117,2
1303059681,21,1,51,115,2
1303059703,21,1,51,114,2
1303059721,21,1,51,116,2
1303059738,21,1,51,115,2
1303059761,21,1,51,116,2
1303059778,21,1,51,115,2
1303059796,21,1,51,115,2
1303059818,21,1,51,116,2
1303059835,21,1,51,0,2
1303059853,21,1,51,0,2
1303059875,21,1,51,1,2
1303059892,21,1,51,0,2
1303059909,21,1,51,0,2
1303059932,21,1,51,0,2
1303059949,21,1,51,0,2
1303059967,21,1,51,1,2
1303059989,21,1,51,0,2
1303060006,21,1,51,0,2
1303060023,21,1,51,1,2
1303060041,21,1,51,0,2
1303060064,21,1,51,0,2
1303060081,21,1,51,0,2
1303060098,21,1,51,0,2
1303060121,21,1,51,1,2
1303060138,21,1,51,0,2
1303060155,21,1,51,0,2
1303060177,21,1,51,0,2
1303060195,21,1,51,0,2
1303060212,21,1,51,0,2
1303060234,21,1,51,0,2
1303060251,21,1,51,0,2
1303060268,21,1,51,0,2
1303060291,21,1,51,0,2
1303060308,21,1,51,0,2
1303060325,21,1,51,0,2
1303060348,21,1,51,0,2
1303060366,21,1,51,0,2
1303060383,21,1,51,0,2
1303060400,21,1,51,0,2
1303060422,21,1,51,0,2
1303060440,21,1,51,0,2
1303060457,21,1,51,0,2
1303060479,21,1,51,1,2
1303060496,21,1,51,0,2
1303060514,21,1,51,0,2
1303060536,21,1,51,0,2
1303060553,21,1,51,0,2
1303060570,21,1,51,1,2
1303060596,21,1,51,0,2
1303060613,21,1,51,0,2
1303060630,21,1,51,1,2
1303060652,21,1,51,0,2
1303060670,22,1,51,1,2
1303060687,21,1,51,0,2
1303060709,21,1,51,1,2
1303060727,21,1,51,1,2
1303060744,21,1,51,0,2
1303060761,21,1,51,1,2
1303060783,21,1,51,1,2
1303060801,21,1,51,0,2
1303060818,21,1,51,0,2
1303060841,21,1,51,0,2
1303060858,21,1,51,0,2
1303060875,21,1,51,1,2
1303060898,21,1,51,0,2
1303060915,21,1,51,0,2
1303060932,21,1,51,1,2
1303060955,21,1,51,0,2
1303060972,21,1,51,0,2
1303060989,21,1,51,0,2
1303061012,21,1,51,1,2
1303061029,21,1,51,0,2
1303061046,21,1,51,1,2
1303061069,21,1,51,1,2
1303061086,21,1,51,0,2
1303061103,21,1,51,0,2
1303061121,21,1,51,0,2
1303061143,21,1,51,0,2
1303061161,21,1,51,1,2
1303061178,21,1,51,0,2
1303061200,21,1,51,0,2
1303061218,21,1,51,1,2
1303061235,21,1,51,0,2
1303061261,21,1,51,0,2
1303061278,21,1,51,0,2
1303061295,21,1,51,0,2
1303061318,21,1,51,1,2
1303061335,21,1,51,1,2
1303061352,21,1,51,1,2
1303061374,21,1,51,0,2
1303061392,21,1,51,1,2
1303061409,21,1,51,1,2
1303061431,21,1,51,0,2
1303061448,21,1,51,121,2
1303061465,21,1,51,135,2
1303061482,21,1,51,134,2
1303061505,21,1,51,129,2
1303061523,21,1,51,125,2
1303061541,21,1,51,124,2
1303061563,21,1,51,119,2
1303061580,21,1,51,120,2
1303061597,21,1,51,118,2
1303061620,21,1,51,117,2
1303061638,21,1,51,117,2
1303061655,21,1,51,118,2
1303061677,21,1,51,118,2
1303061695,21,1,51,119,2
1303061713,21,1,51,120,2
1303061735,21,1,51,117,2
1303061753,21,1,51,116,2
1303061770,21,1,51,119,2
1303061793,21,1,51,117,2
1303061810,21,1,51,116,2
1303061828,21,1,51,116,2
1303061852,21,1,51,117,2
1303061870,21,1,51,116,2
1303061887,21,1,51,116,2
1303061910,21,1,51,115,2
1303061928,21,1,51,116,2
1303061945,21,1,51,117,2
1303061962,21,1,51,115,2
1303061985,21,1,51,116,2
1303062003,21,1,51,116,2
1303062020,21,1,51,116,2
1303062043,21,1,51,114,2
1303062060,21,1,51,116,2
1303062078,21,1,51,115,2
1303062100,21,1,51,114,2
1303062118,21,1,51,0,2
1303062135,21,1,51,0,2
1303062157,21,1,51,0,2
1303062174,21,1,51,1,2
1303062192,21,1,51,1,2
1303062214,21,1,51,0,2
1303062232,21,1,51,0,2
1303062249,21,1,51,0,2
1303062271,21,1,51,0,2
1303062288,21,1,51,0,2
1303062306,21,1,51,1,2
1303062323,21,1,51,0,2
1303062345,21,1,51,0,2
1303062362,21,1,51,0,2
1303062379,21,1,51,0,2
1303062401,21,1,51,0,2
1303062419,21,1,51,1,2
1303062436,21,1,51,1,2
1303062459,21,1,51,0,2
1303062476,21,1,51,1,2
1303062493,21,1,51,0,2
1303062516,21,1,51,0,2
1303062533,21,1,51,1,2
1303062550,21,1,51,0,2
1303062572,21,1,51,0,2
1303062590,21,1,51,0,2
1303062607,21,1,51,0,2
1303062629,21,1,51,0,2
1303062646,21,1,51,1,2
1303062664,21,1,51,0,2
1303062681,21,1,51,0,2
1303062704,21,1,51,0,2
1303062721,21,1,51,0,2
1303062738,21,1,51,0,2
1303062761,21,1,51,0,2
1303062778,21,1,51,0,2
1303062795,21,1,51,0,2
1303062818,21,1,51,0,2
1303062835,21,1,51,0,2
1303062852,22,1,51,1,2
1303062874,21,1,51,0,2
1303062891,21,1,51,0,2
1303062908,21,1,51,0,2
1303062931,21,1,51,0,2
1303062948,21,1,51,1,2
1303062965,21,1,51,0,2
1303062982,21,1,51,1,2
1303063005,21,1,51,0,2
1303063022,21,1,50,0,2
1303063039,21,1,51,0,2
1303063062,21,1,51,0,2
1303063079,21,1,51,0,2
1303063096,21,1,51,0,2
1303063118,21,1,51,1,2
1303063136,21,1,51,0,2
1303063153,21,1,51,0,2
1303063175,21,1,51,0,2
1303063193,21,1,51,0,2
1303063210,21,1,51,0,2
1303063233,21,1,51,0,2
1303063250,21,1,51,0,2
1303063267,21,1,51,0,2
1303063289,21,1,51,0,2
1303063307,21,1,51,1,2
1303063324,21,1,51,0,2
1303063341,21,1,51,0,2
1303063364,21,1,51,1,2
1303063381,21,1,51,1,2
1303063398,21,1,51,1,2
1303063420,21,1,51,0,2
1303063438,21,1,51,0,2
1303063455,22,1,51,1,2
1303063477,22,1,51,1,2
1303063494,22,1,51,1,2
1303063511,22,1,51,1,2
1303063534,22,1,51,0,2
1303063551,22,1,51,1,2
1303063568,22,1,51,1,2
1303063591,22,1,51,1,2
1303063608,22,1,51,1,2
1303063625,22,1,51,1,2
1303063642,22,1,51,1,2
1303063665,22,1,51,1,2
1303063682,22,1,50,1,2
1303063699,22,1,50,1,2
1303063723,22,1,50,1,2
1303063740,22,1,51,132,2
1303063757,22,1,51,134,2
1303063780,22,1,51,133,2
1303063797,22,1,51,127,2
1303063814,22,1,51,126,2
1303063837,22,1,51,123,2
1303063854,22,1,51,121,2
